18,217,53,250,74,42,22,1,249,13,134,144,201,90,86,52,117,222,162,7,156,109,253,56,202,60,122,118,173,12,135,61,226,113,70,228,21,232,4,81,176,44,59,141,15,180,33,188,98,83,66,151,213,26,198,Label
1.4884,0.25955,0.98831,0.42768,0.24362,1.3827,0.45824,1.0027,0.48779,0.3197,0.21417,0.17837,0.27552,0.32918,0.47517,0.95277,0.70886,0.26464,0.26899,0.32402,0.15625,0.76173,0.48455,0.71472,0.24053,1.9008,0.96638,0.63438,0.30056,0.46997,0.18763,0.80812,0.30399,0.53389,0.17758,0.3051,0.51057,0.36755,0.67514,0.40663,0.28293,1.8987,1.5229,0.20341,0.35414,0.19767,1.0577,0.20827,1.1688,0.46329,0.15186,0.16287,0.27886,0.40175,0.16162,S1
1.432,0.32704,0.99234,0.39637,0.28383,1.4808,0.43747,1.0925,0.44122,0.32479,0.21203,0.16583,0.32729,0.31784,0.54305,0.98741,0.61799,0.25287,0.29857,0.35489,0.15923,0.80458,0.46083,0.69878,0.25124,2.047,1.0058,0.56255,0.24342,0.63346,0.19862,0.84048,0.27641,0.40387,0.17538,0.3142,0.48872,0.34489,0.67219,0.43136,0.2545,2.4003,1.654,0.19882,0.38536,0.17467,1.0164,0.20998,0.98005,0.45546,0.1366,0.19844,0.31157,0.44983,0.17353,S1
1.1836,0.28671,0.89096,0.42194,0.22177,1.4984,0.47542,1.2878,0.46486,0.26833,0.17951,0.16723,0.2499,0.31944,0.50753,0.90106,0.6222,0.26035,0.29492,0.29935,0.15746,0.83813,0.46805,0.65885,0.22633,1.8843,0.9223,0.50298,0.26088,0.53961,0.19752,0.75887,0.30675,0.49142,0.18438,0.3091,0.56711,0.36339,0.61725,0.43048,0.24833,2.0199,1.652,0.19414,0.31439,0.17055,1.3822,0.18518,1.093,0.48762,0.15887,0.17192,0.27871,0.44806,0.18528,S1
1.3761,0.23479,1.0212,0.45709,0.27178,1.7859,0.43339,0.96744,0.49695,0.33319,0.1928,0.16929,0.24858,0.31645,0.54669,0.87265,0.70179,0.23003,0.30083,0.29993,0.16178,0.95721,0.49225,0.66262,0.21182,1.7444,1.0002,0.55951,0.29336,0.55157,0.17503,0.85485,0.274,0.4832,0.181,0.31973,0.5503,0.39587,0.64995,0.40355,0.21004,2.3114,1.4746,0.18389,0.32507,0.19901,0.86323,0.23644,1.0778,0.3829,0.14356,0.17366,0.27432,0.41656,0.16483,S1
1.0731,0.23067,1.0928,0.44066,0.26427,1.2435,0.45311,1.4454,0.4129,0.31673,0.17612,0.16498,0.26106,0.28811,0.47878,0.75753,0.62432,0.25736,0.31732,0.20781,0.15067,0.83831,0.43726,0.65037,0.22455,1.9509,0.88529,0.56556,0.26198,0.4285,0.17976,0.84547,0.31098,0.43718,0.19742,0.31031,0.3979,0.38751,0.72837,0.44962,0.23192,1.4723,1.257,0.17601,0.38119,0.2042,1.1476,0.22941,0.9572,0.3473,0.1746,0.18295,0.27231,0.36309,0.18101,S1
1.2438,0.25055,1.0891,0.39481,0.2651,1.2045,0.44902,1.7273,0.40184,0.22068,0.19912,0.17028,0.25665,0.32877,0.49034,0.79558,0.73016,0.26817,0.28761,0.22751,0.1509,0.86382,0.57085,0.56217,0.22636,1.949,0.84216,0.61577,0.27109,0.5957,0.17413,0.96265,0.26378,0.42797,0.24336,0.28028,0.32569,0.33861,0.73654,0.44328,0.27676,1.4873,1.2309,0.16328,0.42046,0.175,1.4179,0.20374,1.1457,0.44118,0.15484,0.18602,0.28389,0.38452,0.19702,S1
1.1815,0.19354,0.99599,0.41497,0.25491,1.2554,0.48118,2.3605,0.42042,0.2611,0.18463,0.20126,0.24373,0.31784,0.4772,0.7142,0.7272,0.27281,0.29331,0.2383,0.16619,0.90351,0.5205,0.58999,0.22235,1.7661,0.9552,0.59892,0.23539,0.4817,0.16365,0.83174,0.29306,0.60881,0.18321,0.34778,0.35381,0.36362,0.74653,0.43785,0.23769,1.4344,1.4132,0.19733,0.49755,0.18002,1.2615,0.19319,1.0176,0.37427,0.17244,0.17257,0.30327,0.45815,0.17075,S1
1.0334,0.23463,1.1915,0.45993,0.25046,1.3126,0.44749,0.8288,0.44987,0.28666,0.18911,0.16406,0.23684,0.28217,0.42962,0.73873,0.70848,0.28061,0.27852,0.23256,0.15108,0.89421,0.55207,0.5804,0.20174,1.6803,0.84966,0.66454,0.26243,0.47733,0.19004,0.94778,0.27045,0.47568,0.1792,0.37393,0.44372,0.3267,0.611,0.42325,0.25791,1.5501,1.21,0.19327,0.39272,0.16474,1.2809,0.18859,1.1428,0.40889,0.16288,0.18667,0.3033,0.42675,0.18624,S1
0.90492,0.25359,1.2108,0.51774,0.2672,1.2697,0.45639,1.7552,0.45487,0.20344,0.19811,0.15264,0.26799,0.30963,0.59898,0.8556,0.80682,0.28082,0.28605,0.25215,0.16111,1.01,0.58125,0.68408,0.2747,2.1625,0.79651,0.79788,0.23664,0.35704,0.16375,1.0396,0.2472,0.45566,0.2026,0.31197,0.86017,0.34722,0.75554,0.52342,0.26587,1.5834,1.5517,0.16408,0.32146,0.14597,1.4037,0.18667,1.6421,0.54693,0.17882,0.16716,0.30419,0.32001,0.21635,S1
